order_year,order_month,revenue,profit
2019,1,18442.0,2815.0
2019,2,19979.0,5005.0
2019,3,51670.0,3591.0
2019,4,38458.0,2923.0
2019,5,50988.0,8662.0
2019,6,40345.0,4750.0
2019,7,39262.0,4433.0
2019,8,31115.0,2062.0
2019,9,73361.0,9306.0
2019,10,42688.0,16243.0
2019,11,79412.0,4011.0
2019,12,78113.0,17802.0
2020,1,54763.0,7140.0
2020,2,52068.0,1614.0
2020,3,64229.0,14752.0
2020,4,50808.0,933.0
2020,5,66750.0,6343.0
2020,6,69243.0,8223.0
2020,7,60077.0,6953.0
2020,8,77339.0,9041.0
2020,9,119804.0,10992.0
2020,10,88897.0,9275.0
2020,11,130910.0,9216.0
2020,12,166036.0,8469.0
